x,y
65.0,53.0
70.0,51.0
75.0,50.0
82.0,50.0
90.0,50.0
95.0,49.0
104.0,50.0
110.0,49.0
115.0,49.0
122.0,47.5
128.0,48.0
135.0,48.0
142.0,46.0
147.0,47.0
153.0,47.0
157.5,47.0
165.0,48.0
171.0,50.0
175.0,49.5
182.0,52.0
189.0,53.0
193.5,54.0
201.0,55.0
206.0,56.0
212.0,57.0
217.0,57.0
224.0,60.0
230.0,63.0
238.0,64.0
243.0,65.0
248.0,70.0
254.0,72.5
261.0,74.0
266.0,76.0
272.0,79.0
278.0,80.0
285.0,85.0
291.0,87.5
298.0,89.0
303.0,93.0
310.0,97.0
315.0,101.0
322.0,105.0
326.5,110.0
332.0,113.0
338.0,119.0
346.0,121.0
352.0,126.0
357.0,130.0
363.5,133.0
367.0,140.0
373.0,142.5
380.5,148.0
387.0,154.5
394.5,163.0
402.0,166.0
406.0,170.0
410.5,176.0
414.5,180.0
420.0,186.0
427.0,192.0
433.0,200.0
438.0,206.0
444.0,210.0
449.0,218.0
454.0,224.0
462.0,232.0
465.5,239.0
471.0,245.0
478.0,251.0
484.0,260.0
489.0,266.0
494.0,274.0
501.0,281.0
512.0,292.0
515.0,297.0
519.5,305.0
521.0,311.0
527.5,317.0
535.0,328.0
540.0,336.0
546.0,346.0
550.0,355.5
557.0,362.0
563.0,372.0
568.0,380.0
571.0,388.0
574.5,395.0
584.0,405.0
590.0,416.0
595.0,426.0
599.0,435.0
606.0,446.0
611.0,455.0
616.0,465.0
621.0,474.0
626.0,485.0
632.0,495.0
637.0,505.0
642.5,516.0
648.0,527.0
654.0,538.0
659.0,548.0
662.0,560.0
667.0,572.0
672.0,582.0
678.0,594.0
682.0,606.0
688.0,617.0
694.0,629.0
700.0,642.0
703.5,653.0
