x,y
72.0,155.0
75.0,158.0
79.0,159.5
83.0,162.0
88.0,164.0
92.0,165.0
96.0,167.0
102.0,171.0
106.0,174.0
109.0,178.0
114.0,181.0
119.0,183.0
124.0,185.0
128.0,191.0
132.0,192.0
137.0,197.0
140.0,199.0
146.0,204.0
149.0,206.0
154.0,208.0
159.0,215.0
165.5,220.0
168.5,223.0
171.0,229.0
174.5,232.0
179.0,238.0
184.5,241.0
191.0,246.0
192.0,251.0
201.0,257.0
204.0,262.0
209.0,265.0
211.0,270.0
216.0,278.0
218.0,283.0
225.0,287.0
231.5,295.5
233.5,299.0
238.0,306.0
240.0,311.0
242.5,317.0
243.5,320.0
246.5,323.5
257.0,336.0
262.0,343.0
265.0,349.0
271.0,357.0
272.0,362.0
279.0,368.0
282.0,381.0
286.5,385.0
291.5,389.5
296.0,392.5
300.0,402.0
303.0,408.0
308.0,416.0
312.0,425.0
315.0,431.0
319.0,439.0
323.0,447.0
328.0,455.5
332.0,463.5
336.0,472.0
341.0,479.0
344.0,487.0
349.0,496.0
353.0,505.0
358.0,513.0
361.0,521.0
367.0,529.0
370.0,538.0
374.0,547.0
377.0,556.0
382.0,564.0
385.0,573.5
390.0,583.0
394.0,592.0
399.0,601.0
403.0,611.0
407.5,621.0
411.0,629.0
416.0,640.0
418.0,649.0
424.0,659.0
428.0,669.0
431.0,679.0
