x,y
41.5,193.0
45.0,193.0
54.0,192.0
64.0,193.0
76.0,191.0
86.0,192.0
98.0,193.0
106.0,192.0
116.0,193.0
125.5,194.0
137.0,193.5
147.0,195.0
155.5,195.0
162.0,196.0
171.0,197.5
183.0,199.0
195.0,200.0
205.0,199.5
212.0,201.5
221.0,203.0
230.0,206.0
242.0,206.0
251.0,209.0
260.0,209.5
270.0,211.0
280.0,213.0
288.0,215.5
295.0,218.5
306.0,220.5
314.0,224.0
325.0,225.5
335.0,229.5
344.0,231.0
352.0,235.0
361.0,238.0
370.0,240.0
380.0,243.0
390.0,246.0
399.0,249.0
406.0,253.0
415.0,255.5
424.0,259.0
434.0,262.5
444.0,265.0
453.0,270.5
460.5,272.5
467.0,279.0
478.0,284.0
488.0,286.5
496.0,290.5
509.0,298.0
528.0,299.5
531.0,303.0
535.0,310.0
0.0,0.0
548.5,319.0
548.5,319.5
552.5,323.0
575.0,333.0
584.0,337.0
592.0,343.0
601.0,348.0
618.0,353.0
624.0,360.0
629.5,364.5
635.0,368.0
640.5,375.5
645.5,379.5
662.0,387.0
672.0,393.0
678.0,398.0
684.0,404.0
697.5,409.0
703.0,417.0
710.5,424.0
723.0,429.0
730.0,438.0
739.0,444.0
747.0,451.0
756.0,457.0
765.0,465.0
773.0,471.0
782.0,478.0
789.0,485.0
800.0,491.0
808.0,499.0
816.0,506.0
824.0,514.0
832.0,521.0
841.0,529.0
849.0,536.0
859.0,544.0
866.0,553.0
875.0,562.0
883.0,569.0
892.0,577.0
900.0,584.0
909.0,596.0
918.0,604.0
926.0,611.0
928.0,617.0
936.0,624.0
944.0,632.0
956.0,646.0
962.0,652.0
