x,y
19.0,291.0
26.0,288.0
38.0,283.0
50.0,280.5
61.0,276.0
72.5,272.0
81.0,269.0
92.0,264.0
103.0,262.0
116.0,257.0
126.0,254.5
136.0,254.5
145.0,252.0
158.0,249.0
167.0,246.0
179.0,242.0
187.0,240.5
197.0,238.5
209.0,236.0
219.0,234.0
229.0,233.0
241.0,232.0
248.5,230.0
260.0,229.5
269.0,227.0
281.5,225.5
291.0,224.5
300.0,223.5
309.0,223.0
319.0,220.0
332.0,223.0
340.0,222.0
350.0,222.0
360.0,220.0
368.0,220.5
380.0,222.0
390.0,221.5
399.0,220.5
409.0,220.0
420.0,222.0
429.0,223.0
438.0,223.5
450.0,224.0
460.0,224.0
470.0,227.5
479.0,228.0
488.0,230.0
498.0,230.0
508.0,232.5
517.0,234.0
527.0,237.0
536.0,238.0
546.0,238.0
556.0,241.5
566.0,243.5
576.0,246.0
585.0,249.0
595.0,251.0
604.0,254.0
614.0,256.5
624.0,260.0
633.0,263.0
643.0,266.0
651.0,271.0
660.0,272.0
669.5,275.5
680.0,280.0
691.0,283.5
699.0,286.5
0.0,0.0
719.0,296.0
727.5,301.5
738.0,304.0
747.0,308.0
0.0,0.0
766.0,315.5
775.0,320.0
783.0,325.0
792.0,331.0
801.0,337.0
811.0,343.0
820.0,348.0
829.0,355.0
839.0,358.0
849.0,364.0
858.0,371.0
868.0,377.0
876.0,381.0
886.0,386.0
896.0,393.0
904.0,400.0
912.0,405.0
922.0,410.0
930.0,419.0
939.0,426.0
948.0,432.0
958.0,439.0
965.0,445.0
976.0,452.0
985.0,462.0
994.0,468.0
1003.5,476.0
1012.0,485.0
1021.0,491.0
1029.0,499.0
1038.5,507.0
1047.0,514.0
1055.0,522.0
1064.0,530.0
1073.0,539.0
1081.0,547.0
1090.0,556.0
1098.0,565.0
1109.0,574.0
1116.0,583.0
1125.0,591.0
1134.0,601.0
1141.0,611.0
1151.0,619.0
1159.0,628.0
1166.0,635.5
