x,y
56.0,256.5
62.0,255.0
68.0,252.5
75.0,249.0
82.0,247.0
89.0,243.0
97.0,241.0
102.0,242.0
107.5,239.0
114.0,238.0
120.0,236.5
127.0,235.5
134.0,233.0
143.0,232.0
149.0,230.5
156.0,230.0
162.5,228.0
167.5,226.0
173.0,227.0
178.5,226.0
186.0,225.0
193.0,225.0
202.0,225.0
208.0,224.0
213.0,225.0
217.0,225.0
228.0,225.0
233.0,227.0
239.0,226.0
245.0,226.0
250.0,227.0
256.5,227.0
264.0,227.5
270.5,230.0
277.5,230.0
282.0,231.0
288.0,231.0
295.0,235.0
300.0,236.0
306.0,237.0
313.0,239.0
320.0,242.0
327.0,242.0
334.0,245.0
338.0,248.0
345.0,250.0
353.0,254.0
360.0,255.0
363.0,257.0
369.0,260.0
376.0,263.0
382.0,267.0
389.0,271.5
395.0,272.0
400.0,280.0
408.0,280.5
413.0,285.0
421.0,292.0
425.0,296.0
436.0,299.5
436.0,301.0
441.0,305.0
0.0,0.0
445.0,312.0
457.5,314.0
463.5,318.5
465.5,320.5
478.0,330.0
485.0,335.0
490.0,340.0
496.0,345.0
503.0,352.0
509.0,356.0
515.0,362.0
522.0,367.0
526.0,373.0
531.0,379.0
538.0,384.0
542.5,390.0
548.0,395.0
553.0,400.5
560.0,406.5
566.0,414.0
571.0,422.0
577.0,428.0
583.0,435.0
589.0,442.0
595.0,447.0
601.0,455.0
607.0,463.0
613.0,469.0
619.0,477.0
624.0,484.0
630.0,492.0
635.0,500.0
641.0,507.0
647.0,515.0
652.0,522.0
657.0,530.0
664.0,538.0
670.0,547.0
676.0,556.0
683.0,565.0
688.0,573.5
694.0,582.0
699.0,590.0
705.0,599.0
708.0,608.0
714.0,619.0
720.0,626.5
725.0,638.0
731.5,644.0
736.0,655.0
743.0,665.0
746.5,673.0
