x,y
34.5,148.0
39.5,148.0
0.0,0.0
61.5,143.0
72.0,141.0
81.0,140.0
91.0,139.0
100.5,136.0
106.0,135.0
114.5,132.0
124.0,131.0
134.0,130.0
144.0,130.0
151.0,128.5
159.0,128.0
169.0,128.0
179.0,127.0
192.0,126.5
200.0,126.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
250.0,127.0
258.0,127.5
268.0,127.5
275.0,128.0
282.0,128.0
293.0,128.5
303.0,129.5
313.0,132.0
322.0,134.0
328.0,135.0
336.0,136.0
344.0,137.5
355.0,138.0
0.0,0.0
369.0,140.0
378.0,143.5
387.0,149.0
398.0,151.0
0.0,0.0
410.0,153.5
419.0,157.5
428.0,161.0
439.0,163.0
448.0,165.5
454.0,167.0
462.0,170.0
471.0,173.0
478.0,177.5
486.0,180.5
494.0,184.0
502.0,187.5
509.0,191.0
516.0,194.0
523.5,197.5
532.0,203.0
541.0,206.0
550.0,210.0
557.0,215.5
566.0,220.0
573.0,226.0
581.0,229.0
588.0,233.0
595.0,239.0
604.0,243.5
611.0,250.0
621.0,255.0
627.0,259.0
633.0,264.0
641.0,270.0
649.0,275.0
657.0,281.0
664.5,287.0
673.5,293.0
679.0,298.0
688.0,305.0
697.0,311.0
703.0,317.0
711.0,320.5
718.0,328.0
726.0,334.0
733.0,342.0
741.0,349.0
749.0,355.0
756.0,363.0
763.0,370.0
770.0,378.0
778.0,384.0
786.0,390.0
792.0,397.0
799.0,405.0
807.0,414.0
815.0,422.0
820.0,429.0
828.0,437.0
837.0,446.0
844.0,455.0
850.0,461.0
857.0,468.0
862.0,475.0
869.0,484.0
878.0,495.0
885.0,503.0
891.0,511.0
897.0,520.0
905.0,529.0
912.0,538.0
919.0,548.0
924.0,558.0
933.0,568.0
939.0,576.0
946.0,584.0
953.0,597.0
959.5,605.0
962.0,613.0
