x,y
94.5,251.0
101.0,251.0
109.5,253.0
117.0,254.5
125.5,256.5
133.0,257.0
143.0,258.0
153.0,259.0
161.0,260.0
169.0,264.0
180.0,263.0
190.5,267.0
200.0,267.0
207.0,269.0
216.0,272.0
226.0,275.0
234.0,278.0
239.5,279.5
248.0,281.0
258.0,284.0
268.0,288.0
279.5,290.0
282.5,294.0
302.0,300.0
308.0,303.0
309.5,304.0
0.0,0.0
329.5,310.0
329.5,313.5
0.0,0.0
349.5,319.5
353.5,322.5
356.5,325.0
377.0,334.0
384.0,338.0
394.0,343.0
401.0,348.0
408.0,352.0
415.5,358.0
424.5,360.5
432.0,365.5
443.0,371.0
451.5,378.0
457.0,382.0
465.0,388.0
476.0,393.0
483.0,398.0
490.0,403.0
496.0,409.0
505.0,415.0
513.0,420.0
521.0,426.0
529.0,433.0
538.0,440.0
546.0,447.0
554.0,453.0
562.0,459.0
569.0,466.0
576.0,473.0
585.0,480.0
593.0,488.0
600.0,495.0
608.0,502.0
616.0,508.0
624.0,515.0
632.0,524.0
640.0,533.0
647.0,541.0
655.0,548.5
661.0,557.0
669.0,563.0
676.0,571.0
684.0,579.0
693.0,588.0
699.0,597.5
706.0,606.0
714.0,616.0
721.0,624.0
727.5,633.5
734.5,643.0
743.0,652.0
749.0,660.0
