x,y
45.0,282.0
48.5,283.5
54.0,285.0
61.0,285.0
65.5,288.0
70.0,290.0
75.0,290.0
81.0,292.0
86.0,295.0
92.0,298.0
97.0,299.0
102.0,302.5
108.0,305.0
111.0,307.0
117.0,310.0
123.0,313.0
125.5,315.5
132.5,318.0
142.5,322.0
145.0,326.0
152.0,332.0
153.0,333.0
163.5,343.0
165.5,345.5
167.5,348.0
170.0,349.0
177.0,350.0
178.0,359.0
186.0,359.0
190.0,364.0
195.0,372.5
198.5,372.5
205.5,381.0
211.0,387.5
215.0,387.0
218.5,387.0
225.5,396.0
226.0,396.0
229.0,398.0
238.0,411.0
245.0,417.5
248.5,419.5
254.0,432.0
258.0,437.0
263.0,441.0
268.0,449.0
272.0,456.0
277.0,462.0
282.0,468.0
285.0,474.0
291.0,482.0
295.0,488.0
299.0,496.0
305.0,502.0
309.0,509.0
313.0,516.0
319.0,524.0
323.0,530.0
327.0,538.0
331.0,546.0
335.0,552.0
339.0,561.0
344.0,568.0
349.0,577.0
352.0,585.0
357.0,593.0
362.0,601.0
366.0,610.0
370.0,618.0
374.0,626.0
379.0,635.0
383.0,645.0
387.0,653.0
391.0,662.0
